# s_ref,X_ref,Y_ref,phi_ref,kappa_ref,right_width,left_width
124.190951,-41.530235,33.184343,-1.290255,-0.013062,1.750001,1.749999
124.290944,-41.502646,33.088362,-1.291558,-0.013036,1.750001,1.749999
124.390936,-41.475181,32.992338,-1.292859,-0.013009,1.750001,1.749999
124.490929,-41.447838,32.896271,-1.294157,-0.012982,1.750001,1.749999
124.590922,-41.420618,32.800159,-1.295453,-0.012955,1.750001,1.749999
124.690914,-41.393519,32.704002,-1.296745,-0.012927,1.750001,1.749999
124.790907,-41.366541,32.607800,-1.298035,-0.012898,1.750001,1.749999
124.890900,-41.339684,32.511551,-1.299323,-0.012869,1.750001,1.749999
124.990893,-41.312947,32.415255,-1.300608,-0.012840,1.750001,1.749999
125.090885,-41.286330,32.318911,-1.301889,-0.012810,1.750001,1.749999
125.190878,-41.259832,32.222518,-1.303169,-0.012779,1.750001,1.749999
125.290871,-41.233453,32.126075,-1.304445,-0.012748,1.750001,1.749999
125.390863,-41.207192,32.029582,-1.305718,-0.012717,1.750001,1.749999
125.490856,-41.181050,31.933038,-1.306988,-0.012685,1.750001,1.749999
125.590849,-41.155024,31.836441,-1.308256,-0.012653,1.750001,1.749999
125.690842,-41.129116,31.739793,-1.309520,-0.012620,1.750001,1.749999
125.790834,-41.103324,31.643090,-1.310782,-0.012587,1.750001,1.749999
125.890827,-41.077649,31.546334,-1.312040,-0.012553,1.750001,1.749999
125.990820,-41.052089,31.449522,-1.313295,-0.012519,1.750001,1.749999
126.090812,-41.026644,31.352655,-1.314547,-0.012484,1.750001,1.749999
126.190805,-41.001314,31.255731,-1.315796,-0.012449,1.750001,1.749999
126.290798,-40.976098,31.158750,-1.317042,-0.012414,1.750001,1.749999
126.390791,-40.950995,31.061710,-1.318284,-0.012378,1.750001,1.749999
126.490783,-40.926006,30.964612,-1.319524,-0.012341,1.750001,1.749999
126.590776,-40.901130,30.867455,-1.320760,-0.012305,1.750001,1.749999
126.690769,-40.876366,30.770237,-1.321992,-0.012267,1.750001,1.749999
126.790761,-40.851714,30.672957,-1.323221,-0.012230,1.750001,1.749999
126.890754,-40.827212,30.575762,-1.324493,-0.013672,1.749999,1.750000
126.990747,-40.802855,30.478584,-1.325976,-0.015918,1.749999,1.750000
127.090740,-40.778647,30.381343,-1.327683,-0.018163,1.749999,1.750000
127.190732,-40.754612,30.284039,-1.329616,-0.020410,1.749999,1.750000
127.290725,-40.730772,30.186672,-1.331775,-0.022660,1.749999,1.750000
127.390718,-40.707151,30.089241,-1.334160,-0.024912,1.749999,1.750000
127.490710,-40.683773,29.991745,-1.336770,-0.027168,1.749999,1.750000
127.590703,-40.660659,29.894185,-1.339608,-0.029429,1.749999,1.750000
127.690696,-40.637834,29.796560,-1.342672,-0.031696,1.749999,1.750000
127.790689,-40.615321,29.698869,-1.345963,-0.033968,1.749999,1.750000
127.890681,-40.593143,29.601113,-1.349482,-0.036247,1.749999,1.750000
127.990674,-40.571324,29.503290,-1.353230,-0.038532,1.749999,1.750000
128.090667,-40.549886,29.405400,-1.357206,-0.040825,1.749999,1.750000
128.190659,-40.528853,29.307444,-1.361411,-0.043126,1.749999,1.750000
128.290652,-40.508248,29.209419,-1.365847,-0.045434,1.749999,1.750000
128.390645,-40.488094,29.111327,-1.370512,-0.047751,1.749999,1.750000
128.490638,-40.468415,29.013166,-1.375409,-0.050075,1.749999,1.750000
128.590630,-40.449234,28.914937,-1.380537,-0.052407,1.749999,1.750000
128.690623,-40.430574,28.816638,-1.385898,-0.054747,1.749999,1.750000
128.790616,-40.412458,28.718270,-1.391491,-0.057094,1.749999,1.750000
128.890608,-40.394910,28.619832,-1.397318,-0.059447,1.749999,1.750000
128.990601,-40.377953,28.521323,-1.403378,-0.061807,1.749999,1.750000
129.090594,-40.361610,28.422743,-1.409672,-0.064172,1.749999,1.750000
129.190587,-40.345904,28.324092,-1.416201,-0.066542,1.749999,1.750000
129.290579,-40.330859,28.225369,-1.422964,-0.068914,1.749999,1.750000
129.390572,-40.316498,28.126574,-1.429963,-0.071289,1.749999,1.750000
129.490565,-40.302844,28.027707,-1.437196,-0.073664,1.749999,1.750000
129.590557,-40.289920,27.928767,-1.444665,-0.076038,1.749999,1.750000
129.690550,-40.277750,27.829753,-1.452369,-0.078410,1.749999,1.750000
129.790543,-40.266357,27.730666,-1.460308,-0.080776,1.749999,1.750000
129.890536,-40.255764,27.631504,-1.468481,-0.083135,1.749999,1.750000
129.990528,-40.245994,27.532268,-1.476888,-0.085485,1.749999,1.750000
130.090521,-40.237071,27.432956,-1.485528,-0.087823,1.749999,1.750000
130.190514,-40.229018,27.333570,-1.494402,-0.090146,1.749999,1.750000
130.290506,-40.221858,27.234107,-1.503506,-0.092451,1.749999,1.750000
130.390499,-40.215615,27.134568,-1.512841,-0.094736,1.749999,1.750000
130.490492,-40.210311,27.034953,-1.522404,-0.096996,1.749999,1.750000
130.590485,-40.205970,26.935260,-1.532195,-0.099227,1.749999,1.750000
130.690477,-40.202615,26.835490,-1.542210,-0.101428,1.749999,1.750000
130.790470,-40.200270,26.735642,-1.552449,-0.103592,1.749999,1.750000
130.890463,-40.198958,26.635813,-1.562893,-0.105232,1.750000,1.750000
130.990455,-40.198692,26.536286,-1.573354,-0.104980,1.750000,1.750000
131.090448,-40.199467,26.436698,-1.583797,-0.104754,1.750000,1.750000
131.190441,-40.201282,26.337064,-1.594226,-0.104554,1.750000,1.750000
131.290434,-40.204138,26.237397,-1.604642,-0.104379,1.750000,1.750000
131.390426,-40.208032,26.137711,-1.615047,-0.104229,1.750000,1.750000
131.490419,-40.212966,26.038021,-1.625444,-0.104105,1.750000,1.750000
131.590412,-40.218938,25.938340,-1.635835,-0.104007,1.750000,1.750000
131.690404,-40.225949,25.838683,-1.646222,-0.103933,1.750000,1.750000
131.790397,-40.233998,25.739065,-1.656607,-0.103885,1.750000,1.750000
131.890390,-40.243084,25.639498,-1.666992,-0.103862,1.750000,1.750000
131.990383,-40.253207,25.539997,-1.677379,-0.103863,1.750000,1.750000
132.090375,-40.264366,25.440577,-1.687772,-0.103890,1.750000,1.750000
132.190368,-40.276562,25.341251,-1.698170,-0.103941,1.750000,1.750000
132.290361,-40.289794,25.242033,-1.708578,-0.104017,1.750000,1.750000
132.390353,-40.304061,25.142938,-1.718997,-0.104117,1.750000,1.750000
132.490346,-40.319363,25.043980,-1.729429,-0.104241,1.750000,1.750000
132.590339,-40.335699,24.945172,-1.739876,-0.104390,1.750000,1.750000
132.690332,-40.353070,24.846530,-1.750340,-0.104562,1.750000,1.750000
132.790324,-40.371474,24.748066,-1.760823,-0.104759,1.750000,1.750000
132.890317,-40.390912,24.649796,-1.771328,-0.104979,1.750000,1.750000
132.990310,-40.411383,24.551733,-1.781857,-0.105222,1.750000,1.750000
